order_date,city,delivery_order_count,paused_time_minutes,speed_time_minutes,transit_time_minutes,delivery_distance_meters,average_retail_price,weekday,product,state
2021-01-29,CURITIBA,118,2.470168067226891,5.156218487394958,14.57327731092437,2834.983193277311,4.423,4,GASOLINA COMUM,PR
2021-01-29,PORTO ALEGRE,204,2.248086124401914,3.881291866028708,17.053253588516746,3337.6555023923447,4.851,4,GASOLINA COMUM,RS
2021-01-29,RIO DE JANEIRO,612,5.478560371517028,10.462105263157895,37.2125386996904,2707.8668730650156,5.091,4,GASOLINA COMUM,RJ
2021-01-29,SÃO PAULO,721,5.240953020134229,8.897906040268456,25.010510067114097,2778.7530201342283,4.392,4,GASOLINA COMUM,SP
2021-01-30,CURITIBA,110,2.609099099099099,5.405945945945946,14.083873873873873,2691.072072072072,4.423,5,GASOLINA COMUM,PR
2021-01-30,PORTO ALEGRE,182,1.8013297872340424,3.723244680851064,24.581914893617018,3456.925531914894,4.851,5,GASOLINA COMUM,RS
2021-01-30,RIO DE JANEIRO,646,6.721699716713881,11.283271954674222,24.768626062322948,2829.6983002832862,5.091,5,GASOLINA COMUM,RJ
2021-01-30,SÃO PAULO,940,12.577408866995073,16.717980295566502,21.9987881773399,2657.55960591133,4.392,5,GASOLINA COMUM,SP
2021-01-31,CURITIBA,151,3.3726973684210524,5.653552631578948,13.435526315789474,2816.4210526315787,4.499,6,GASOLINA COMUM,PR
2021-01-31,PORTO ALEGRE,134,1.8354814814814815,3.800962962962963,14.705111111111112,3119.037037037037,4.885,6,GASOLINA COMUM,RS
2021-01-31,RIO DE JANEIRO,743,5.451784810126582,9.719569620253164,24.301582278481014,2861.2962025316456,5.179,6,GASOLINA COMUM,RJ
2021-01-31,SÃO PAULO,936,7.4428073770491805,11.546485655737706,21.844774590163933,2666.8627049180327,4.478,6,GASOLINA COMUM,SP
2021-02-01,CURITIBA,111,2.6048648648648647,5.58963963963964,15.271351351351353,2699.288288288288,4.499,0,GASOLINA COMUM,PR
2021-02-01,PORTO ALEGRE,133,3.467080291970803,5.398540145985401,19.827591240875915,3114.6788321167883,4.885,0,GASOLINA COMUM,RS
2021-02-01,RIO DE JANEIRO,461,7.75201581027668,11.98385375494071,237.6154347826087,2703.812252964427,5.179,0,GASOLINA COMUM,RJ
2021-02-01,SÃO PAULO,446,16.15510593220339,20.802118644067797,23.92627118644068,2856.3050847457625,4.478,0,GASOLINA COMUM,SP
2021-02-02,CURITIBA,96,1.861122448979592,4.711734693877551,13.797346938775512,2711.6530612244896,4.499,1,GASOLINA COMUM,PR
2021-02-02,PORTO ALEGRE,149,2.515496688741722,4.799470198675497,16.723708609271526,3434.7615894039736,4.885,1,GASOLINA COMUM,RS
2021-02-02,RIO DE JANEIRO,433,5.455860566448801,9.80755991285403,23.809368191721134,2797.335511982571,5.179,1,GASOLINA COMUM,RJ
2021-02-02,SÃO PAULO,382,24.194811083123426,30.781158690176323,775.272644836272,3421.586901763224,4.478,1,GASOLINA COMUM,SP
2021-02-03,CURITIBA,101,3.509716981132075,6.327075471698113,14.524056603773584,2759.377358490566,4.499,2,GASOLINA COMUM,PR
2021-02-03,PORTO ALEGRE,103,3.9744036697247704,6.054128440366973,20.40394495412844,3332.7155963302753,4.885000000000001,2,GASOLINA COMUM,RS
2021-02-03,RIO DE JANEIRO,351,4.149301075268817,7.990967741935483,49.25983870967742,2547.3844086021504,5.179,2,GASOLINA COMUM,RJ
2021-02-03,SÃO PAULO,369,20.81,26.40174142480211,32.940343007915565,3347.0448548812665,4.478,2,GASOLINA COMUM,SP
2021-02-04,CURITIBA,97,2.914040404040404,5.787878787878788,15.752525252525253,2854.8282828282827,4.499,3,GASOLINA COMUM,PR
2021-02-04,PORTO ALEGRE,137,3.2737857142857143,4.896857142857144,18.178714285714285,3346.2,4.885,3,GASOLINA COMUM,RS
2021-02-04,RIO DE JANEIRO,426,5.076875,9.011964285714287,20.200424107142858,2785.6875,5.179,3,GASOLINA COMUM,RJ
2021-02-04,SÃO PAULO,522,13.775730129390018,19.4662292051756,47.87146025878003,3443.6543438077633,4.478,3,GASOLINA COMUM,SP
2021-02-05,CURITIBA,105,2.183,5.258636363636364,13.073636363636362,2508.4545454545455,4.499,4,GASOLINA COMUM,PR
2021-02-05,PORTO ALEGRE,171,2.995082872928177,4.8281215469613254,440.64591160221,3701.4364640883978,4.885,4,GASOLINA COMUM,RS
2021-02-05,RIO DE JANEIRO,621,12.723497409326425,17.505790155440415,144.02759067357513,2896.4987046632123,5.179,4,GASOLINA COMUM,RJ
2021-02-05,SÃO PAULO,747,13.46348427672956,18.833522012578616,38.690301886792454,3281.904402515723,4.478,4,GASOLINA COMUM,SP
2021-02-06,CURITIBA,98,2.56803738317757,5.772523364485981,12.502242990654207,2735.1495327102803,4.499,5,GASOLINA COMUM,PR
2021-02-06,PORTO ALEGRE,198,2.8888038277511963,4.71244019138756,26.222296650717702,3541.2392344497607,4.885,5,GASOLINA COMUM,RS
2021-02-06,RIO DE JANEIRO,711,11.933513513513514,16.84470035252644,277.30157461809637,2957.915393654524,5.179000000000001,5,GASOLINA COMUM,RJ
2021-02-06,SÃO PAULO,664,12.570358680057387,16.833070301291247,25.234218077474893,2841.938307030129,4.478,5,GASOLINA COMUM,SP
2021-02-07,CURITIBA,132,2.521642857142857,6.175071428571428,13.085857142857142,2787.0642857142857,4.601,6,GASOLINA COMUM,PR
2021-02-07,PORTO ALEGRE,227,2.994291666666667,4.754583333333333,17.977458333333335,3314.4125,4.914,6,GASOLINA COMUM,RS
2021-02-07,RIO DE JANEIRO,798,6.783881578947368,11.378991228070175,159.90418859649122,2912.2554824561403,5.303,6,GASOLINA COMUM,RJ
2021-02-07,SÃO PAULO,833,35.072423900789175,39.564250281848935,22.294205186020292,2782.078917700113,4.551,6,GASOLINA COMUM,SP
2021-02-08,CURITIBA,97,2.4075728155339804,6.213689320388349,14.038543689320388,2766.6796116504856,4.601,0,GASOLINA COMUM,PR
2021-02-08,PORTO ALEGRE,169,3.491104651162791,5.10203488372093,25.86593023255814,3284.9127906976746,4.914,0,GASOLINA COMUM,RS
2021-02-08,RIO DE JANEIRO,424,9.677070707070706,13.888101010101009,24.628626262626263,2811.0343434343436,5.303,0,GASOLINA COMUM,RJ
2021-02-08,SÃO PAULO,465,21.901059063136458,27.36590631364562,25.69364562118126,3146.7413441955196,4.551,0,GASOLINA COMUM,SP
2021-02-09,CURITIBA,92,2.2655208333333334,6.044479166666666,13.041666666666666,2728.2291666666665,4.601,1,GASOLINA COMUM,PR
2021-02-09,PORTO ALEGRE,186,2.7961224489795917,4.367091836734694,47.552959183673465,3266.719387755102,4.914,1,GASOLINA COMUM,RS
2021-02-09,RIO DE JANEIRO,420,4.900901098901098,8.944395604395604,28.80846153846154,2771.654945054945,5.303,1,GASOLINA COMUM,RJ
2021-02-09,SÃO PAULO,463,29.08366459627329,33.322732919254655,28.735776397515526,3021.8343685300206,4.551,1,GASOLINA COMUM,SP
2021-02-10,CURITIBA,107,3.081517857142857,7.078392857142857,14.579642857142858,2822.1339285714284,4.601,2,GASOLINA COMUM,PR
2021-02-10,PORTO ALEGRE,158,2.73685534591195,4.687358490566037,25.60937106918239,3390.182389937107,4.914,2,GASOLINA COMUM,RS
2021-02-10,RIO DE JANEIRO,447,6.961165254237288,11.092923728813558,189.75673728813558,2868.5889830508477,5.303,2,GASOLINA COMUM,RJ
2021-02-10,SÃO PAULO,463,30.988070539419088,35.7354979253112,26.968049792531122,2830.182572614108,4.551,2,GASOLINA COMUM,SP
2021-02-11,CURITIBA,96,3.056831683168317,6.332178217821782,14.858910891089108,2613.4257425742576,4.601,3,GASOLINA COMUM,PR
2021-02-11,PORTO ALEGRE,158,2.9513253012048195,4.73777108433735,19.434156626506024,3410.9518072289156,4.914,3,GASOLINA COMUM,RS
2021-02-11,RIO DE JANEIRO,463,5.985270833333333,10.085125,24.742916666666666,2716.05625,5.303,3,GASOLINA COMUM,RJ
2021-02-11,SÃO PAULO,504,21.848108108108107,26.873648648648647,29.163513513513514,3029.776061776062,4.551,3,GASOLINA COMUM,SP
2021-02-12,CURITIBA,130,3.8086111111111114,7.7693055555555555,14.95611111111111,2817.875,4.601,4,GASOLINA COMUM,PR
2021-02-12,PORTO ALEGRE,174,2.7444505494505496,5.175659340659341,41.49395604395604,3200.263736263736,4.914,4,GASOLINA COMUM,RS
2021-02-12,RIO DE JANEIRO,520,5.678513986013987,10.02701048951049,21.736625874125874,2861.0944055944055,5.303,4,GASOLINA COMUM,RJ
2021-02-12,SÃO PAULO,649,19.606410256410257,24.314886039886037,26.83930199430199,3144.3831908831908,4.551,4,GASOLINA COMUM,SP
2021-02-13,CURITIBA,133,5.817847222222222,9.626319444444444,13.910555555555554,2801.090277777778,4.601,5,GASOLINA COMUM,PR
2021-02-13,PORTO ALEGRE,171,1.9397674418604651,3.6374999999999997,17.766279069767442,3696.6162790697676,4.914,5,GASOLINA COMUM,RS
2021-02-13,RIO DE JANEIRO,596,6.487560240963855,10.94152108433735,23.624683734939758,2886.4081325301204,5.303,5,GASOLINA COMUM,RJ
2021-02-13,SÃO PAULO,704,10.131748998664888,15.17347129506008,26.20052069425901,2801.580774365821,4.551,5,GASOLINA COMUM,SP
2021-02-14,CURITIBA,141,2.1370666666666667,5.725466666666667,15.241333333333332,2727.32,4.662,6,GASOLINA COMUM,PR
2021-02-14,PORTO ALEGRE,106,2.2506542056074768,4.769626168224299,25.05869158878505,3667.467289719626,5.028,6,GASOLINA COMUM,RS
2021-02-14,RIO DE JANEIRO,574,6.634,10.923515625,88.9399375,2916.6,5.267,6,GASOLINA COMUM,RJ
2021-02-14,SÃO PAULO,641,6.8729341317365265,11.033398203592816,20.907380239520958,2795.3532934131736,4.627,6,GASOLINA COMUM,SP
2021-02-15,CURITIBA,132,5.4059440559440555,9.252237762237762,14.255454545454546,2863.2517482517483,4.662,0,GASOLINA COMUM,PR
2021-02-15,PORTO ALEGRE,173,2.2370391061452515,4.19,16.7972625698324,3267.927374301676,5.028,0,GASOLINA COMUM,RS
2021-02-15,RIO DE JANEIRO,520,6.994923076923078,11.860581196581196,23.418393162393162,2852.808547008547,5.267,0,GASOLINA COMUM,RJ
2021-02-15,SÃO PAULO,461,9.09189075630252,16.430189075630253,27.87281512605042,3071.8046218487393,4.627,0,GASOLINA COMUM,SP
2021-02-16,CURITIBA,141,2.691700680272109,6.595374149659864,14.94469387755102,2860.5510204081634,4.662,1,GASOLINA COMUM,PR
2021-02-16,PORTO ALEGRE,194,1.960558375634518,4.581827411167513,28.114517766497464,3580.43654822335,5.028,1,GASOLINA COMUM,RS
2021-02-16,RIO DE JANEIRO,608,9.316443514644352,14.202245467224547,25.38047419804742,2793.276150627615,5.267,1,GASOLINA COMUM,RJ
2021-02-16,SÃO PAULO,486,13.540949494949494,18.844464646464647,22.515636363636364,2933.159595959596,4.627,1,GASOLINA COMUM,SP
2021-02-17,CURITIBA,126,2.5673076923076925,6.469923076923077,15.434538461538462,2673.9846153846156,4.662,2,GASOLINA COMUM,PR
2021-02-17,PORTO ALEGRE,154,2.097948717948718,4.113910256410256,16.585,3326.621794871795,5.028,2,GASOLINA COMUM,RS
2021-02-17,RIO DE JANEIRO,530,6.842117039586919,11.078485370051636,24.054578313253014,2860.2719449225474,5.267,2,GASOLINA COMUM,RJ
2021-02-17,SÃO PAULO,446,19.79294117647059,24.09926977687627,31.611501014198783,3166.9878296146044,4.627,2,GASOLINA COMUM,SP
2021-02-18,CURITIBA,123,2.964318181818182,6.630303030303031,15.904621212121212,3141.287878787879,4.662,3,GASOLINA COMUM,PR
